Dataset,Sampling_Method,Classifier,F1_Mean,F1_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,AUC_ROC_Mean,AUC_ROC_Std,Training_Time
Diabetes,Baseline,Random_Forest,0.6470829618913421,0.02704536466340144,0.699196164269335,0.0528382766077322,0.6045422781271838,0.02607833132565333,0.731271139063592,0.019894065933130717,5.318671226501465
Diabetes,Baseline,XGBoost,0.6230257841561435,0.02915100162722536,0.6593094408867918,0.03995652276961349,0.5932215234102027,0.04384197578824534,0.7136107617051014,0.01983270378251167,1.0291180610656738
Diabetes,Random_Over,Random_Forest,0.6744630365504585,0.030101857526406216,0.6477367970471419,0.046641095288324205,0.7052410901467505,0.02122893843220429,0.7486205450733752,0.024158086600848023,3.581491470336914
Diabetes,Random_Over,XGBoost,0.6309980306206722,0.038554142137326934,0.6247143694512116,0.04384838779788344,0.6378756114605171,0.03662508394980956,0.7159378057302586,0.029607857476189946,0.6941077709197998
Diabetes,Random_Under,Random_Forest,0.6806539251510777,0.04299734994608326,0.6006168199218017,0.0515634972666904,0.7872117400419287,0.03324024817690333,0.7516058700209645,0.03925573323479622,1.8013324737548828
Diabetes,Random_Under,XGBoost,0.67240201862322,0.04759083779565493,0.611366461701842,0.05475242131114091,0.749685534591195,0.05536540819462419,0.7458427672955974,0.03888824716947687,0.5529589653015137
Diabetes,SMOTE,Random_Forest,0.6624825156493309,0.018332420187111426,0.6184910374661263,0.03622458445182709,0.716491963661775,0.0313123934267907,0.7382459818308875,0.0159270196411014,1.188206434249878
Diabetes,SMOTE,XGBoost,0.647896630548895,0.030565093054623016,0.6141242937853107,0.036182901161921,0.686303284416492,0.0302468575209584,0.727151642208246,0.024076363451899868,0.4811887741088867
Diabetes,ADASYN,Random_Forest,0.6795090709401296,0.023355314946812783,0.6246718929240287,0.034270016695215906,0.7462613556953179,0.01887620492785716,0.752130677847659,0.019617308286534175,1.1300220489501953
Diabetes,ADASYN,XGBoost,0.636475888986408,0.02368954767327529,0.6021488758647694,0.04329277969252116,0.6789657582110412,0.040849970978696686,0.7174828791055206,0.018727712141407185,0.4819788932800293
Credit Card Fraud,Baseline,Random_Forest,0.7868645202488361,0.022615118000323887,0.8880952380952382,0.06710738678077262,0.7110294117647059,0.042596318699883035,0.8554345726606837,0.02126291990983768,84.07104420661926
Credit Card Fraud,Baseline,XGBoost,0.8445812807881774,0.04371591606255088,0.9566666666666667,0.035901098714230036,0.7588235294117647,0.06483943436778998,0.8793817136190347,0.032417000065241154,3.356031894683838
Credit Card Fraud,Random_Over,Random_Forest,0.7763943583298423,0.053053789846128255,0.84469941822883,0.09910347664662532,0.724264705882353,0.05492602763818557,0.8620121526070186,0.027457776412013985,67.12293434143066
Credit Card Fraud,Random_Over,XGBoost,0.7926381461675579,0.03413347569126807,0.8046311858076564,0.033018788080409985,0.7838235294117647,0.05911691541835816,0.891751497259236,0.02954926377357396,5.976542949676514
Credit Card Fraud,Random_Under,Random_Forest,0.13488737774864829,0.022848134200177592,0.07313620845842933,0.01293540306155629,0.8794117647058822,0.08433153596654996,0.9302301301446999,0.04244773786077568,1.7008368968963623
Credit Card Fraud,Random_Under,XGBoost,0.08645374035647924,0.020933203550244448,0.04550175508907407,0.011491842917661834,0.9036764705882353,0.06020438085429036,0.9352407065946876,0.03101541587783104,0.4390904903411865
Credit Card Fraud,SMOTE,Random_Forest,0.7552217553688141,0.049998232159227066,0.754937343358396,0.0591725401542094,0.7602941176470588,0.07228356310261473,0.8799367072354449,0.03613716117288551,152.97458291053772
Credit Card Fraud,SMOTE,XGBoost,0.7105660077796301,0.03880816416045239,0.6378326976862446,0.05458753568703391,0.8080882352941176,0.05553296349558588,0.903653467564354,0.027732972132232938,7.906397342681885
Credit Card Fraud,ADASYN,Random_Forest,0.6874086274086274,0.05488125783263637,0.6176845495380965,0.07483343036112818,0.7838235294117647,0.05911691541835816,0.8914910655429464,0.02954414596512567,148.4296009540558
Credit Card Fraud,ADASYN,XGBoost,0.7006914409225065,0.036056587700285116,0.6127639751552795,0.02560453067427186,0.8198529411764707,0.06325239166943106,0.9094957543963501,0.03162389928944935,7.695379972457886
Heart Disease,Baseline,Random_Forest,0.996116504854369,0.007766990291262133,1.0,0.0,0.9923809523809524,0.01523809523809523,0.9961904761904762,0.007619047619047593,0.9385650157928467
Heart Disease,Baseline,XGBoost,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2186577320098877
Heart Disease,Random_Over,Random_Forest,0.996116504854369,0.007766990291262133,1.0,0.0,0.9923809523809524,0.01523809523809523,0.9961904761904762,0.007619047619047593,0.9403290748596191
Heart Disease,Random_Over,XGBoost,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.26284241676330566
Heart Disease,Random_Under,Random_Forest,0.996116504854369,0.007766990291262133,1.0,0.0,0.9923809523809524,0.01523809523809523,0.9961904761904762,0.007619047619047593,0.9380109310150146
Heart Disease,Random_Under,XGBoost,0.996116504854369,0.007766990291262133,1.0,0.0,0.9923809523809524,0.01523809523809523,0.9961904761904762,0.007619047619047593,0.2682151794433594
Heart Disease,SMOTE,Random_Forest,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0578641891479492
Heart Disease,SMOTE,XGBoost,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4504098892211914
